City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,amanalco de becerra,19.3167,-100.0167,69.22,29.0,1.0,2.62,MX,1717089889
292,caleta de carquin,-11.0925,-77.6267,69.55,70.0,38.0,8.1,PE,1717089889
293,stephenville,32.2207,-98.2023,84.76,71.0,100.0,8.05,US,1717089696
294,bujaru,-1.515,-48.0447,89.64,59.0,63.0,5.03,BR,1717089891
295,kasongo-lunda,-6.4667,16.8167,79.52,40.0,84.0,0.76,CD,1717089891
296,buwenge,0.6422,33.1744,69.91,81.0,100.0,3.31,UG,1717089892
297,mendig,50.3667,7.2833,64.29,79.0,93.0,10.11,DE,1717089893
298,tura,25.5198,90.2201,75.65,97.0,89.0,8.01,IN,1717089502
299,al mindak,20.1588,41.2834,85.6,19.0,15.0,3.6,SA,1717089894
300,afaahiti,-17.75,-149.2833,73.27,71.0,36.0,14.12,PF,1717089693
301,vernon,50.2581,-119.2691,60.33,50.0,16.0,8.01,CA,1717089423
302,qubadli,39.344,46.582,72.1,67.0,35.0,5.14,AZ,1717089896
303,pasni,25.2631,63.471,88.27,60.0,0.0,15.82,PK,1717089896
304,la ronge,55.1001,-105.2842,55.65,62.0,100.0,13.8,CA,1717089618
305,yuxia,34.0615,108.6291,72.21,31.0,92.0,7.38,CN,1717089898
306,vilyuchinsk,52.9306,158.4028,41.27,84.0,100.0,8.32,RU,1717089608
307,upata,8.0086,-62.3989,87.46,59.0,54.0,8.66,VE,1717089899
308,margate,51.3813,1.3862,59.7,78.0,95.0,7.0,GB,1717089863
309,dhidhdhoo,6.8833,73.1,83.8,81.0,100.0,22.57,MV,1717089668
310,san patricio,28.017,-97.5169,92.16,54.0,64.0,13.82,US,1717089537
311,hilo,19.7297,-155.09,73.62,89.0,100.0,1.99,US,1717089449
312,vila franca do campo,37.7167,-25.4333,68.41,99.0,100.0,5.88,PT,1717089902
313,tralee,52.2704,-9.7026,55.65,62.0,75.0,11.5,IE,1717089495
314,kulia village,,,,,,,,{}
315,itoman,26.1247,127.6694,77.4,100.0,100.0,3.44,JP,1717089904
